ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,PAST_DUE_COUNT,CREDIT_INQUIRIES_6M,EXISTING_LOANS,ACCOUNT_AGE_MONTHS,APPROVED
1,M,N,Y,1,68500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-18980,-1825,1,0,0,High skill tech staff,2,0,0,3,27,1
2,F,N,Y,0,36000.0,Working,Higher education,Married,With parents,-21170,-6935,1,1,0,Drivers,2,0,1,1,25,1
3,F,Y,Y,0,44000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11315,365243,0,1,1,Other,2,0,2,2,19,1
4,F,N,Y,2,73600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18980,365243,0,0,0,High skill tech staff,4,0,2,1,41,1
5,M,N,N,4,117800.0,Working,Higher education,Single / not married,House / apartment,-23725,-8760,1,0,1,Cooking staff,5,0,2,0,59,1
6,M,Y,Y,0,64200.0,Working,Incomplete higher,Married,House / apartment,-12775,-5110,0,1,1,Drivers,2,1,2,1,4,1
7,M,N,Y,1,52400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9490,-13505,1,0,1,High skill tech staff,2,1,0,3,26,1
8,F,Y,Y,0,37900.0,Pensioner,Academic degree,Single / not married,House / apartment,-16790,365243,0,0,0,Security staff,1,2,1,1,59,0
9,F,N,Y,0,29600.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-10220,-5110,1,0,0,Accountants,1,3,0,1,21,0
10,F,Y,Y,0,85400.0,Pensioner,Secondary / secondary special,Separated,Office apartment,-10220,365243,1,0,0,Sales staff,1,0,0,1,16,1
11,M,N,Y,0,45400.0,Commercial associate,Higher education,Civil marriage,House / apartment,-21170,-3650,0,1,0,Security staff,2,0,1,0,12,1
12,F,N,Y,2,87100.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10220,-11680,0,0,1,High skill tech staff,3,1,3,1,47,1
13,F,N,Y,0,41600.0,Working,Incomplete higher,Married,House / apartment,-13505,-13140,0,0,0,Drivers,2,0,1,3,58,1
14,M,Y,N,1,35400.0,Working,Higher education,Separated,House / apartment,-21535,-12775,0,0,0,Managers,2,0,1,0,31,1
15,M,N,Y,2,60500.0,Commercial associate,Higher education,Married,House / apartment,-14235,-13505,1,0,1,Cooking staff,4,0,1,1,2,1
16,M,N,Y,0,47200.0,Pensioner,Secondary / secondary special,Married,Office apartment,-8395,365243,0,1,0,Laborers,2,1,1,0,21,1
17,M,N,N,0,26800.0,Commercial associate,Higher education,Civil marriage,House / apartment,-22265,-12410,0,1,0,Accountants,2,0,3,0,31,1
18,F,N,N,2,121600.0,Commercial associate,Higher education,Married,House / apartment,-25185,-2920,1,0,1,Drivers,4,1,2,0,5,1
19,M,N,N,0,35800.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-10585,-3650,0,1,0,Laborers,1,1,0,0,29,0
20,M,N,N,0,77900.0,Working,Incomplete higher,Married,Municipal apartment,-24090,-11680,0,0,1,Managers,2,2,3,1,18,0
21,F,N,Y,0,74700.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19345,-11680,0,0,0,Cooking staff,1,1,1,0,20,1
22,M,N,N,0,26100.0,Working,Secondary / secondary special,Separated,House / apartment,-18980,-9490,0,0,1,Laborers,1,1,1,0,37,0
23,M,N,Y,2,29700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-18980,-6205,0,1,0,Cooking staff,4,0,1,3,38,1
24,M,N,Y,1,42200.0,Commercial associate,Incomplete higher,Married,Municipal apartment,-9490,-3650,1,1,1,Managers,3,0,1,2,53,1
25,F,Y,N,0,31800.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-25185,365243,0,0,0,Accountants,2,0,2,1,57,1
26,F,N,Y,0,116200.0,Working,Secondary / secondary special,Widow,House / apartment,-25185,-5475,0,1,1,Security staff,1,0,0,0,56,1
27,M,N,N,3,44400.0,Working,Secondary / secondary special,Married,House / apartment,-17885,-8395,0,0,0,Other,5,1,1,0,51,1
28,F,Y,N,0,76500.0,Working,Secondary / secondary special,Married,House / apartment,-20805,365243,1,1,0,Other,2,1,0,0,23,0
29,F,N,Y,0,63400.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-13505,365243,1,1,0,Core staff,1,1,1,1,30,1
30,M,N,N,3,55900.0,Working,Higher education,Married,House / apartment,-14235,-1825,0,1,0,Other,5,1,2,1,25,1
31,F,Y,Y,3,50000.0,Working,Secondary / secondary special,Married,Rented apartment,-18615,-4015,1,0,0,Managers,5,1,0,1,12,1
32,M,N,Y,0,91000.0,Student,Higher education,Single / not married,House / apartment,-14235,-9125,0,1,1,Laborers,1,0,1,0,22,0
33,M,Y,N,0,32400.0,Working,Secondary / secondary special,Married,House / apartment,-15695,-6570,0,0,1,High skill tech staff,2,0,1,1,26,1
34,F,Y,Y,0,116200.0,Working,Secondary / secondary special,Married,House / apartment,-24455,365243,0,1,0,Medicine staff,2,0,1,1,43,1
35,F,N,N,0,25800.0,Commercial associate,Higher education,Single / not married,With parents,-20075,-12045,0,1,0,Other,1,0,1,2,23,1
36,F,Y,Y,1,72500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12410,-6935,1,1,0,Sales staff,3,0,1,0,48,1
